                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.92559,                 1.1816,                  1.241,                0.75677,                0.68586,                0.74042,                0.58193,                0.75221,                 1.0286,                 1.2338,              0.0051985,              0.0051985,              0.0051985
                     99,                0.91107,                 1.1716,                 1.2343,                0.75305,                0.69253,                0.74165,                0.58399,                0.75123,                 1.0257,                 1.2338,               0.005149,               0.005149,               0.005149
                    100,                0.90613,                 1.1569,                 1.2362,                0.73801,                0.69764,                0.74504,                0.58867,                0.75093,                 1.0211,                  1.237,              0.0050995,              0.0050995,              0.0050995
                    101,                0.90183,                 1.1536,                 1.2301,                0.75229,                0.69524,                0.74955,                0.59302,                0.75182,                 1.0098,                 1.2381,                0.00505,                0.00505,                0.00505
                    102,                0.90907,                 1.1597,                 1.2299,                 0.7557,                0.69262,                0.75289,                0.59337,                0.75347,                  1.002,                 1.2401,              0.0050005,              0.0050005,              0.0050005
                    103,                0.88894,                 1.1577,                 1.2226,                0.76163,                0.69584,                0.75554,                 0.5943,                0.75665,                0.99878,                 1.2435,               0.004951,               0.004951,               0.004951
                    104,                0.89003,                 1.1364,                 1.2146,                0.73905,                0.71464,                0.75869,                0.59781,                0.75492,                 1.0001,                 1.2423,              0.0049015,              0.0049015,              0.0049015
                    105,                0.89852,                 1.1439,                 1.2178,                0.72413,                0.73098,                0.75845,                 0.5985,                0.75338,                 1.0091,                 1.2393,               0.004852,               0.004852,               0.004852
                    106,                0.89681,                 1.1461,                 1.2277,                0.72246,                0.72822,                0.75563,                0.59688,                0.75098,                 1.0166,                 1.2361,              0.0048025,              0.0048025,              0.0048025
                    107,                 0.8921,                 1.1065,                 1.2164,                 0.7276,                0.71374,                0.75374,                0.59358,                0.74966,                  1.016,                 1.2349,               0.004753,               0.004753,               0.004753
                    108,                0.90856,                 1.1229,                 1.2237,                0.73884,                0.70902,                0.75532,                0.59549,                0.74995,                 1.0124,                 1.2358,              0.0047035,              0.0047035,              0.0047035
